,Date,Away_Team,Away_Prob_538,Home_Team,Home_Prob_538,Home_Odds,Away_Odds,Home_Prob_Implied,Away_Prob_Implied,Home_KC,Away_KC,Home_Bet,Away_Bet,Home_Payoff,Away_Payoff,Home_Prob_Prop,Away_Prob_Prop,Home_Prob_Combined,Away_Prob_Combined,Home_KC_Combined,Away_KC_Combined,Home_Bet_Combined,Away_Bet_Combined,Home_Payoff_Combined,Away_Payoff_Combined,Won_Bet_538,Money_Tracker_538,Won_Bet_Combined,Money_Tracker_Combined
7,2021-12-08,Mavericks,0.33,Grizzlies,0.67,-190.0,160.0,0.6551724137931035,0.3846153846153847,0.005375000000000007,0.0,0.0,0.0,0.0,0.0,0.7579019086923431,0.2420980913076569,0.7139509543461715,0.28604904565382844,0.021307220950487173,0.0,1983.180803562324,0.0,1043.77937029596,0.0,-1,98303.46648546457,0,99883.0574399032
8,2021-12-08,Nuggets,0.51,Pelicans,0.49,108.0,-126.0,0.4807692307692307,0.5575221238938053,0.002222222222222221,0.0,0.0,0.0,0.0,0.0,0.5698979989045171,0.4301020010954829,0.5299489994522586,0.4700510005477415,0.01183957394221041,0.0,1101.974575619705,0.0,1190.1325416692814,0.0,-1,98303.46648546457,0,98781.08286428348
9,2021-12-08,Jazz,0.55,Timberwolves,0.45,300.0,-375.0,0.25,0.7894736842105263,0.03333333333333333,0.0,3062.177215705441,0.0,9186.531647116324,0.0,0.426935489477178,0.573064510522822,0.438467744738589,0.561532255261411,0.03141129078976484,0.0,2923.6224214379,0.0,8770.867264313698,0.0,0,95241.28926975912,0,95857.46044284556
10,2021-12-08,Magic,0.21,Kings,0.79,-355.0,285.0,0.7802197802197803,0.2597402597402597,0.005562500000000021,0.0,0.0,0.0,0.0,0.0,0.743537559060352,0.256462440939648,0.7667687795301761,0.23323122046982397,0.0,0.0,0.0,0.0,0.0,0.0,-1,95241.28926975912,-1,95857.46044284556
11,2021-12-08,Trail Blazers,0.24,Warriors,0.76,-1200.0,750.0,0.9230769230769228,0.11764705882352935,0.0,0.017333333333333333,0.0,1592.332152166829,0.0,11942.491141251216,0.869782554946698,0.13021744505330202,0.8148912774733491,0.18510872252665087,0.0,0.009557069024608893,0.0,889.5292291738826,0.0,6671.46921880412,0,93648.9571175923,0,94967.93121367168
12,2021-12-08,Celtics,0.38,Clippers,0.62,-146.0,124.0,0.5934959349593496,0.4464285714285715,0.008149999999999996,0.0,748.70232923998,0.0,512.8098145479315,0.0,0.625018770898907,0.37498122910109294,0.6225093854494534,0.3774906145505464,0.008921636025706933,0.0,830.3859683844652,0.0,568.7575125920994,0.0,1,94161.76693214024,1,95536.6887262638
0,2021-12-09,Jazz,0.47,76ers,0.53,132.0,-156.0,0.4310344827586207,0.609375,0.021742424242424254,0.0,2047.3050840548685,0.0,2702.4427109524263,0.0,0.47572497829216703,0.5242750217078329,0.5028624891460836,0.4971375108539165,0.015780395342700183,0.0,1507.6067178329306,0.0,1990.040867539468,0.0,0,92114.46184808537,0,94029.08200843088
1,2021-12-09,Lakers,0.37,Grizzlies,0.63,136.0,-162.0,0.42372881355932196,0.6183206106870229,0.04474264705882354,0.0,4213.046704279952,0.0,5729.743517820735,0.0,0.6481289823022031,0.3518710176977969,0.6390644911511015,0.3609355088488985,0.04670884183056982,0.0,4462.408082731438,0.0,6068.874992514757,0.0,1,97844.20536590608,1,100097.95700094565
2,2021-12-09,Nuggets,0.36,Spurs,0.64,-102.0,-118.0,0.504950495049505,0.5412844036697247,0.034100000000000005,0.0,3210.916252385983,0.0,3147.957110182336,0.0,0.644791941509299,0.35520805849070103,0.6423959707546495,0.3576040292453505,0.034704982615549,0.0,3315.5991213921006,0.0,3250.587373913825,0.0,1,100992.16247608844,1,103348.54437485946
0,2021-12-10,Mavericks,0.33,Pacers,0.67,-118.0,100.0,0.5412844036697247,0.5,0.035075000000000016,0.0,3542.300098848804,0.0,3001.949236312545,0.0,0.644346343296827,0.3556536567031729,0.6571731716484135,0.34282682835158645,0.03157968927419267,0.0,3263.7149182981743,0.0,2765.8601002526902,0.0,1,103994.11171240099,1,106114.40447511213
1,2021-12-10,Kings,0.42,Hornets,0.58,-116.0,-102.0,0.5370370370370371,0.504950495049505,0.011599999999999987,0.0,1171.5090847226247,0.0,1009.9216247608832,0.0,0.697017374878181,0.3029826251218189,0.6385086874390905,0.36149131256090944,0.027397345608554426,0.0,2831.475788379048,0.0,2440.927403775041,0.0,1,105004.03333716188,1,108555.33187888717
2,2021-12-10,Nets,0.36,Hawks,0.64,-130.0,110.0,0.5652173913043478,0.4761904761904761,0.0215,0.0,2171.331493235902,0.0,1670.2549947968478,0.0,0.588222519478769,0.411777480521231,0.6141112597393845,0.3858887402606155,0.014056987175073051,0.0,1452.7691628398675,0.0,1117.514740646052,0.0,0,102832.70184392596,0,107102.56271604732
3,2021-12-10,Knicks,0.37,Raptors,0.63,-118.0,-102.0,0.5412844036697247,0.504950495049505,0.02417500000000001,0.0,2441.485527859439,0.0,2069.05553208427,0.0,0.6119704697487359,0.3880295302512641,0.620985234874368,0.379014765125632,0.021718476503265263,0.0,2244.5729326520527,0.0,1902.1804514000448,0.0,1,104901.75737601024,1,109004.74316744736
4,2021-12-10,Cavaliers,0.34,Timberwolves,0.66,-116.0,-102.0,0.5370370370370371,0.504950495049505,0.033200000000000014,0.0,3352.939794206137,0.0,2890.4653398328765,0.0,0.538434028043873,0.461565971956127,0.5992170140219365,0.4007829859780635,0.01678859378592286,0.0,1735.0767298759383,0.0,1495.7558016171881,0.0,0,101548.8175818041,0,107269.66643757145
5,2021-12-10,Pistons,0.2,Pelicans,0.8,-230.0,190.0,0.696969696969697,0.3448275862068966,0.04250000000000001,0.0,4292.16690523376,0.0,1866.1595240146787,0.0,0.744088394125254,0.25591160587474604,0.7720441970626271,0.22795580293737305,0.03096823128833365,0.0,3200.521625513261,0.0,1391.5311415275048,0.0,1,103414.9771058188,1,108661.19757909894
6,2021-12-10,Lakers,0.57,Thunder,0.43,215.0,-260.0,0.31746031746031744,0.7222222222222221,0.020610465116279068,0.0,2081.4954417310087,0.0,4475.215199721669,0.0,0.589237520878533,0.410762479121467,0.5096187604392665,0.4903812395607335,0.03519180787114473,0.0,3637.022117402529,0.0,7819.597552415438,0.0,0,101333.48166408777,0,105024.1754616964
7,2021-12-10,Bucks,0.72,Rockets,0.28,310.0,-390.0,0.2439024390243902,0.7959183673469387,0.005967741935483877,0.0,602.6951631637543,0.0,1868.355005807638,0.0,0.436374544229749,0.563625455770251,0.3581872721148745,0.6418127278851256,0.018893863535120386,0.0,1952.6532939719275,0.0,6053.225211312975,0.0,0,100730.78650092405,0,103071.52216772447
8,2021-12-10,Celtics,0.25,Suns,0.75,-240.0,198.0,0.7058823529411766,0.3355704697986577,0.01875,0.0,1893.6030464266587,0.0,789.0012693444411,0.0,0.710019253718863,0.28998074628113696,0.7300096268594315,0.2699903731405685,0.010254091415258392,0.0,0.0,0.0,0.0,0.0,1,101519.78777026848,-1,103071.52216772447
0,2021-12-11,Magic,0.14,Clippers,0.86,-375.0,300.0,0.7894736842105263,0.25,0.041875,0.0,4251.141112879992,0.0,1133.637630101331,0.0,0.8096958705745971,0.19030412942540287,0.8348479352872986,0.16515206471270144,0.026940961576833542,0.0,2776.8459183864115,0.0,740.4922449030432,0.0,1,102653.42540036982,1,103812.01441262751
1,2021-12-11,Jazz,0.64,Wizards,0.36,205.0,-250.0,0.3278688524590164,0.7142857142857143,0.005975609756097553,0.0,606.6426342369692,0.0,1243.6174001857871,0.0,0.45746373112702504,0.5425362688729749,0.4087318655635125,0.5912681344364874,0.01503854816882397,0.0,1550.0460509533316,0.0,3177.59440445433,0.0,0,102046.78276613285,0,102261.96836167418
2,2021-12-11,Bulls,0.36,Heat,0.64,-116.0,-102.0,0.5370370370370371,0.504950495049505,0.0278,0.0,2822.250100013464,0.0,2432.974224149538,0.0,0.624422183305808,0.375577816694192,0.6322110916529039,0.367788908347096,0.02569699474628408,0.0,2648.6283636355192,0.0,2283.3003134788955,0.0,1,104479.75699028239,1,104545.26867515307
3,2021-12-11,Rockets,0.15,Grizzlies,0.85,-335.0,270.0,0.7701149425287356,0.27027027027027034,0.043437499999999976,0.0,4409.765781271035,0.0,1316.3479944092642,0.0,0.8457225844840941,0.1542774155159059,0.8478612922420471,0.15213870775795296,0.042274577656613035,0.0,4357.305068064781,0.0,1300.6880800193378,0.0,1,105796.10498469166,1,105845.9567551724
4,2021-12-11,Kings,0.27,Cavaliers,0.73,-275.0,225.0,0.7333333333333333,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.747606272603915,0.252393727396085,0.7388031363019575,0.2611968636980425,0.0025639701415425768,0.0,0.0,0.0,0.0,0.0,-1,105796.10498469166,-1,105845.9567551724
5,2021-12-11,Nuggets,0.44,Spurs,0.56,-104.0,-112.0,0.5098039215686275,0.5283018867924528,0.012800000000000018,0.0,1299.4532834594386,0.0,1249.4743110186907,0.0,0.627671324596906,0.372328675403094,0.5938356622984531,0.40616433770154703,0.02142809388610553,0.0,2208.626253993808,0.0,2123.6790903786623,0.0,0,104496.65170123221,0,103637.3305011786
6,2021-12-11,Warriors,0.43,76ers,0.57,126.0,-148.0,0.4424778761061947,0.5967741935483871,0.02859126984126983,0.0,2902.579646368191,0.0,3657.2503544239207,0.0,0.3674406895504849,0.632559310449515,0.4687203447752424,0.5312796552247575,0.005883728094449195,0.0,606.4448107158835,0.0,764.1204615020132,0.0,1,108153.90205565613,1,104401.45096268061
